
############################################################   data hex round1  ###################################################################################

    posix
    Message sent on Enable state data: Timestamp:        0.000000    ID: 06000001    X Rx                DL:  8    23 0d 20 01 00 00 00 00
    Angle_sent , 0 , Receive , Timestamp: 1679819815.403200    ID: 05800001    X Rx                DL:  8    60 0d 20 00 00 00 00 00     Channel: can0
    Angle_sent , 10 , Receive , Timestamp: 1679819815.405150    ID: 05800001    X Rx                DL:  8    60 02 20 00 00 00 00 00     Channel: can0
    Angle_sent , 20 , Receive , Timestamp: 1679819815.506212    ID: 05800001    X Rx                DL:  8    60 04 21 01 ca 25 00 00     Channel: can0
    Angle_sent , 30 , Receive , Timestamp: 1679819815.607216    ID: 05800001    X Rx                DL:  8    60 04 21 01 7b 1f 00 00     Channel: can0
    Angle_sent , 40 , Receive , Timestamp: 1679819815.708426    ID: 05800001    X Rx                DL:  8    60 04 21 01 22 19 00 00     Channel: can0
    Angle_sent , 50 , Receive , Timestamp: 1679819815.809064    ID: 05800001    X Rx                DL:  8    60 04 21 01 bb 12 00 00     Channel: can0
    Angle_sent , 60 , Receive , Timestamp: 1679819815.910670    ID: 05800001    X Rx                DL:  8    60 04 21 01 79 0c 00 00     Channel: can0
    Angle_sent , 70 , Receive , Timestamp: 1679819815.911863    ID: 05800001    X Rx                DL:  8    60 02 20 00 00 00 00 00     Channel: can0
    Angle_sent , 80 , Receive , Timestamp: 1679819816.012129    ID: 05800001    X Rx                DL:  8    60 04 21 01 f5 08 00 00     Channel: can0
    Angle_sent , 90 , Receive , Timestamp: 1679819816.113288    ID: 05800001    X Rx                DL:  8    60 04 21 01 b8 07 00 00     Channel: can0
    Angle_sent , 100 , Receive , Timestamp: 1679819816.214720    ID: 05800001    X Rx                DL:  8    60 04 21 01 8f 07 00 00     Channel: can0
    Angle_sent , 110 , Receive , Timestamp: 1679819816.316015    ID: 05800001    X Rx                DL:  8    60 04 21 01 e3 07 00 00     Channel: can0
    Angle_sent , 120 , Receive , Timestamp: 1679819816.416595    ID: 05800001    X Rx                DL:  8    60 04 21 01 9d 08 00 00     Channel: can0
    Angle_sent , 130 , Receive , Timestamp: 1679819816.517486    ID: 05800001    X Rx                DL:  8    60 04 21 01 82 09 00 00     Channel: can0
    Angle_sent , 140 , Receive , Timestamp: 1679819816.617712    ID: 05800001    X Rx                DL:  8    60 04 21 01 7d 0a 00 00     Channel: can0
    Angle_sent , 150 , Receive , Timestamp: 1679819816.618893    ID: 05800001    X Rx                DL:  8    60 02 20 00 00 00 00 00     Channel: can0
    Angle_sent , 160 , Receive , Timestamp: 1679819816.719005    ID: 05800001    X Rx                DL:  8    60 04 21 01 8f 0b 00 00     Channel: can0
    Angle_sent , 170 , Receive , Timestamp: 1679819816.819826    ID: 05800001    X Rx                DL:  8    60 04 21 01 97 0c 00 00     Channel: can0
    Angle_sent , 180 , Receive , Timestamp: 1679819816.920703    ID: 05800001    X Rx                DL:  8    60 04 21 01 a5 0d 00 00     Channel: can0
    Angle_sent , 190 , Receive , Timestamp: 1679819817.021337    ID: 05800001    X Rx                DL:  8    60 04 21 01 b6 0e 00 00     Channel: can0
    Angle_sent , 200 , Receive , Timestamp: 1679819817.122359    ID: 05800001    X Rx                DL:  8    60 04 21 01 bc 0f 00 00     Channel: can0
    Angle_sent , 210 , Receive , Timestamp: 1679819817.123536    ID: 05800001    X Rx                DL:  8    60 02 20 00 00 00 00 00     Channel: can0
    Angle_sent , 220 , Receive , Timestamp: 1679819817.223139    ID: 05800001    X Rx                DL:  8    60 04 21 01 cc 10 00 00     Channel: can0
    Angle_sent , 230 , Receive , Timestamp: 1679819817.323228    ID: 05800001    X Rx                DL:  8    60 04 21 01 d3 11 00 00     Channel: can0
    Angle_sent , 240 , Receive , Timestamp: 1679819817.324442    ID: 05800001    X Rx                DL:  8    60 02 20 00 00 00 00 00     Channel: can0
    Angle_sent , 250 , Receive , Timestamp: 1679819817.424956    ID: 05800001    X Rx                DL:  8    60 04 21 01 e4 12 00 00     Channel: can0
    Angle_sent , 260 , Receive , Timestamp: 1679819817.426431    ID: 05800001    X Rx                DL:  8    60 02 20 00 00 00 00 00     Channel: can0
    Angle_sent , 270 , Receive , Timestamp: 1679819817.527239    ID: 05800001    X Rx                DL:  8    60 04 21 01 f2 13 00 00     Channel: can0
    Angle_sent , 280 , Receive , Timestamp: 1679819817.628060    ID: 05800001    X Rx                DL:  8    60 04 21 01 ff 14 00 00     Channel: can0
    Angle_sent , 290 , Receive , Timestamp: 1679819817.728964    ID: 05800001    X Rx                DL:  8    60 04 21 01 10 16 00 00     Channel: can0
