############################################################   data hex round1  ###################################################################################
    posix
    [sudo] password for pond: 
    Message sent on Enable state data: Timestamp:        0.000000    ID: 06000001    X Rx                DL:  8    23 0d 20 01 00 00 00 00
    Angle_sent , 0 , Receive , Timestamp: 1679894791.277353    ID: 07000001    X Rx                DL:  8    02 ce 00 00 00 00 00 00     Channel: can0
    Angle_sent , 10 , Receive , Timestamp: 1679894792.277161    ID: 07000001    X Rx                DL:  8    02 d1 00 00 00 00 00 00     Channel: can0
    Angle_sent , 20 , Receive , Timestamp: 1679894793.277676    ID: 07000001    X Rx                DL:  8    00 97 00 00 00 00 00 00     Channel: can0
    Angle_sent , 30 , Receive , Timestamp: 1679894794.277437    ID: 07000001    X Rx                DL:  8    02 47 00 00 00 00 00 00     Channel: can0
    Angle_sent , 40 , Receive , Timestamp: 1679894795.278489    ID: 07000001    X Rx                DL:  8    00 11 00 00 00 00 00 00     Channel: can0
    Angle_sent , 50 , Receive , Timestamp: 1679894796.277719    ID: 07000001    X Rx                DL:  8    01 c0 00 00 00 00 00 00     Channel: can0
    Angle_sent , 60 , Receive , Timestamp: 1679894797.277839    ID: 07000001    X Rx                DL:  8    03 6e 00 00 00 00 00 00     Channel: can0
    Angle_sent , 70 , Receive , Timestamp: 1679894798.278027    ID: 07000001    X Rx                DL:  8    01 37 00 00 00 00 00 00     Channel: can0
    Angle_sent , 80 , Receive , Timestamp: 1679894799.278146    ID: 07000001    X Rx                DL:  8    02 e9 00 00 00 00 00 00     Channel: can0
    Angle_sent , 90 , Receive , Timestamp: 1679894800.278534    ID: 07000001    X Rx                DL:  8    00 af 00 00 00 00 00 00     Channel: can0
    Angle_sent , 100 , Receive , Timestamp: 1679894801.278295    ID: 07000001    X Rx                DL:  8    02 5e 00 00 00 00 00 00     Channel: can0
    Angle_sent , 110 , Receive , Timestamp: 1679894802.278476    ID: 07000001    X Rx                DL:  8    00 26 00 00 00 00 00 00     Channel: can0
    Angle_sent , 120 , Receive , Timestamp: 1679894803.278580    ID: 07000001    X Rx                DL:  8    01 d7 00 00 00 00 00 00     Channel: can0
    Angle_sent , 130 , Receive , Timestamp: 1679894804.279102    ID: 07000001    X Rx                DL:  8    03 88 00 00 00 00 00 00     Channel: can0
    Angle_sent , 140 , Receive , Timestamp: 1679894805.278923    ID: 07000001    X Rx                DL:  8    01 50 00 00 00 00 00 00     Channel: can0
    Angle_sent , 150 , Receive , Timestamp: 1679894806.278996    ID: 07000001    X Rx                DL:  8    02 ff 00 00 00 00 00 00     Channel: can0
    Angle_sent , 160 , Receive , Timestamp: 1679894807.287991    ID: 07000001    X Rx                DL:  8    00 c8 00 00 00 00 00 00     Channel: can0
    Angle_sent , 170 , Receive , Timestamp: 1679894808.279286    ID: 07000001    X Rx                DL:  8    02 79 00 00 00 00 00 00     Channel: can0
    Angle_sent , 180 , Receive , Timestamp: 1679894809.279454    ID: 07000001    X Rx                DL:  8    00 40 00 00 00 00 00 00     Channel: can0
    Angle_sent , 190 , Receive , Timestamp: 1679894810.279577    ID: 07000001    X Rx                DL:  8    01 f0 00 00 00 00 00 00     Channel: can0
    Angle_sent , 200 , Receive , Timestamp: 1679894811.279617    ID: 07000001    X Rx                DL:  8    03 a1 00 00 00 00 00 00     Channel: can0
    Angle_sent , 210 , Receive , Timestamp: 1679894812.279758    ID: 07000001    X Rx                DL:  8    01 68 00 00 00 00 00 00     Channel: can0
